district,description,type,category,total17,total18,total19,total20,total21,ytd22,ytd21,last12mos,updated,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Murder,Violent,Murder,71,67,75,102,123,117,123,117,2022-12-25,300,100,64,56,-4.9,17,17.3,23.5,28.4,27,23.1
Citywide,All Other Homicides,Total/Subcategory,Total/Subcategory,4,8,3,7,11,2,11,2,2022-12-25,21,7,266.7,-33.3,-81.8,-71,0.7,1.6,2.5,0.5,1.6
Citywide,Aggravated Assault,Violent,Aggravated Assault,2536,2650,2744,3315,3559,3124,3572,3111,2022-12-25,9618,3206,29.7,13.4,-12.6,-3,632.5,764.1,820.4,717.1,739
Citywide,Aggravated Assault (Firearm),Total/Subcategory,Total/Subcategory,279,276,287,499,599,450,597,452,2022-12-25,1385,461.7,108.7,57.5,-24.5,-2,66.2,115,138.1,104.2,106.4
Citywide,Combined subtotal of homicides and firearms-related aggravated assaults,Total/Subcategory,Total/Subcategory,354,351,365,608,733,569,731,571,2022-12-25,1706,568.7,100.8,56.4,-22.1,0,84.1,140.1,169,131.6,131.1
Citywide,Aggravated Assault (Shooting occupied home or vehicle),Total/Subcategory,Total/Subcategory,196,217,243,425,531,332,536,327,2022-12-25,1199,399.7,118.5,34.6,-38.4,-18,56,98,122.4,75.4,92.1
Citywide,Aggravated Assault (Shooting unoccupied home or vehicle),Total/Subcategory,Total/Subcategory,77,84,117,216,263,158,264,157,2022-12-25,596,198.7,124.8,34.2,-40.3,-21,27,49.8,60.6,36.2,45.8
Citywide,Aggravated Assault (Non Firearm),Total/Subcategory,Total/Subcategory,1984,2073,2097,2175,2166,2184,2175,2175,2022-12-25,6438,2146,3.3,3.7,0.4,1,483.4,501.4,499.3,501.4,494.7
Citywide,Sexual Assault,Violent,Sexual Assault,249,230,203,217,158,168,166,160,2022-12-25,578,192.7,-22.2,-21.2,1.3,-17,46.8,50,36.4,36.9,44.4
Citywide,Robbery,Violent,Robbery,2610,2567,2814,2417,2693,2612,2694,2611,2022-12-25,7924,2641.3,-4.3,-7.2,-3,-1,648.7,557.1,620.8,601.9,608.8
Citywide,Robbery (Firearm),Total/Subcategory,Total/Subcategory,989,857,1034,805,1109,1077,1108,1078,2022-12-25,2948,982.7,7.3,4.3,-2.8,10,238.3,185.6,255.6,248.5,226.5
Citywide,Robbery (Knife),Total/Subcategory,Total/Subcategory,160,174,140,173,112,97,109,100,2022-12-25,425,141.7,-20,-28.6,-10.7,-29,32.3,39.9,25.8,23.1,32.7
Citywide,Robbery (Strong-arm),Total/Subcategory,Total/Subcategory,1076,1201,1252,972,784,756,785,755,2022-12-25,3008,1002.7,-37.4,-39.7,-3.7,-25,288.6,224.1,180.7,174,231.1
Citywide,Robbery (other dangerous weapon),Total/Subcategory,Total/Subcategory,89,87,88,77,72,88,72,88,2022-12-25,237,79,-18.2,0,22.2,11,20.3,17.7,16.6,20.3,18.2
Citywide,Residential Robbery,Total/Subcategory,Total/Subcategory,101,72,97,89,95,61,96,60,2022-12-25,281,93.7,-2.1,-38.1,-36.8,-36,22.4,20.5,21.9,13.8,21.6
Citywide,Carjacking,Total/Subcategory,Total/Subcategory,195,176,203,301,521,533,524,530,2022-12-25,1025,341.7,156.7,161.1,1.7,55,46.8,69.4,120.1,122.2,78.8
Citywide,Burglary,Property,Burglary,12932,10610,14988,8689,10197,11508,10390,11315,2022-12-25,33874,11291.3,-32,-24.5,11,0,3454.9,2002.9,2350.5,2608.2,2602.7
Citywide,Burglary (Motor Vehicle),Total/Subcategory,Total/Subcategory,10379,8228,12364,6221,8179,8950,8335,8794,2022-12-25,26764,8921.3,-33.8,-28.9,7.5,-1,2850,1434,1885.3,2027.1,2056.4
Citywide,Burglary (Residential),Total/Subcategory,Total/Subcategory,1929,1614,1809,1247,1055,1004,1079,980,2022-12-25,4111,1370.3,-41.7,-45.8,-7.1,-28,417,287.4,243.2,225.9,315.9
Citywide,Burglary (Commercial),Total/Subcategory,Total/Subcategory,417,606,623,958,670,1302,734,1238,2022-12-25,2251,750.3,7.5,98.7,84.8,65,143.6,220.8,154.4,285.4,173
Citywide,"Burglary (Boats, Aircraft, Other)",Total/Subcategory,Total/Subcategory,137,129,168,191,166,130,177,119,2022-12-25,525,175,-1.2,-29.2,-28.3,-32,38.7,44,38.3,27.4,40.3
Citywide,Burglary (Unknown),Total/Subcategory,Total/Subcategory,70,33,24,72,127,122,65,184,2022-12-25,223,74.3,429.2,666.7,44.9,148,5.5,16.6,29.3,42.4,17.1
Citywide,Motor Vehicle Theft,Property,Motor Vehicle Theft,6938,6208,6482,8722,9010,9672,9200,9482,2022-12-25,24214,8071.3,39,46.3,5.2,17,1494.2,2010.5,2076.9,2185.7,1860.5
Citywide,Larceny,Property,Larceny,6220,6628,7768,5974,6186,7786,6469,7503,2022-12-25,19928,6642.7,-20.4,-3.4,21.3,13,1790.6,1377.1,1425.9,1729.5,1531.2
Citywide,Arson,Property,Arson,151,196,152,193,170,162,172,160,2022-12-25,515,171.7,11.8,5.3,-5.9,-7,35,44.5,39.2,36.9,39.6
Citywide,Total,Total/Subcategory,Total/Subcategory,31711,29164,35229,29636,32107,35151,32797,34461,2022-12-25,96972,32324,-8.9,-2.2,7.3,7,8120.6,6831.4,7400.9,7943.6,7451
