district,description,type,category,total17,total18,total19,total20,total21,ytd22,ytd21,last12mos,updated,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Murder,Violent,Murder,71,67,75,102,123,109,116,116,2022-11-27,300,100,64,54.7,-5.7,16,17.3,23.5,28.4,26.7,23.1
Citywide,All Other Homicides,Total/Subcategory,Total/Subcategory,4,8,3,7,11,2,11,2,2022-11-27,21,7,266.7,-33.3,-81.8,-71,0.7,1.6,2.5,0.5,1.6
Citywide,Aggravated Assault,Violent,Aggravated Assault,2536,2650,2744,3315,3559,2876,3344,3091,2022-11-27,9618,3206,29.7,12.6,-13.1,-4,632.5,764.1,820.4,712.5,739
Citywide,Aggravated Assault (Firearm),Total/Subcategory,Total/Subcategory,279,276,287,499,599,423,561,461,2022-11-27,1385,461.7,108.7,60.6,-23,-0,66.2,115,138.1,106.3,106.4
Citywide,Combined subtotal of homicides and firearms-related aggravated assaults,Total/Subcategory,Total/Subcategory,354,351,365,608,733,534,688,579,2022-11-27,1706,568.7,100.8,58.6,-21,2,84.1,140.1,169,133.5,131.1
Citywide,Aggravated Assault (Shooting occupied home or vehicle),Total/Subcategory,Total/Subcategory,196,217,243,425,531,316,512,335,2022-11-27,1199,399.7,118.5,37.9,-36.9,-16,56,98,122.4,77.2,92.1
Citywide,Aggravated Assault (Shooting unoccupied home or vehicle),Total/Subcategory,Total/Subcategory,77,84,117,216,263,151,251,163,2022-11-27,596,198.7,124.8,39.3,-38,-18,27,49.8,60.6,37.6,45.8
Citywide,Aggravated Assault (Non Firearm),Total/Subcategory,Total/Subcategory,1984,2073,2097,2175,2166,1986,2020,2132,2022-11-27,6438,2146,3.3,1.7,-1.6,-1,483.4,501.4,499.3,491.4,494.7
Citywide,Sexual Assault,Violent,Sexual Assault,249,230,203,217,158,157,150,165,2022-11-27,578,192.7,-22.2,-18.7,4.4,-14,46.8,50,36.4,38,44.4
Citywide,Robbery,Violent,Robbery,2610,2567,2814,2417,2693,2450,2492,2651,2022-11-27,7924,2641.3,-4.3,-5.8,-1.6,0,648.7,557.1,620.8,611.1,608.8
Citywide,Robbery (Firearm),Total/Subcategory,Total/Subcategory,989,857,1034,805,1109,1013,997,1125,2022-11-27,2948,982.7,7.3,8.8,1.4,14,238.3,185.6,255.6,259.3,226.5
Citywide,Robbery (Knife),Total/Subcategory,Total/Subcategory,160,174,140,173,112,91,105,98,2022-11-27,425,141.7,-20,-30,-12.5,-31,32.3,39.9,25.8,22.6,32.7
Citywide,Robbery (Strong-arm),Total/Subcategory,Total/Subcategory,1076,1201,1252,972,784,711,736,759,2022-11-27,3008,1002.7,-37.4,-39.4,-3.2,-24,288.6,224.1,180.7,175,231.1
Citywide,Robbery (other dangerous weapon),Total/Subcategory,Total/Subcategory,89,87,88,77,72,80,69,83,2022-11-27,237,79,-18.2,-5.7,15.3,5,20.3,17.7,16.6,19.1,18.2
Citywide,Residential Robbery,Total/Subcategory,Total/Subcategory,101,72,97,89,95,56,90,61,2022-11-27,281,93.7,-2.1,-37.1,-35.8,-35,22.4,20.5,21.9,14.1,21.6
Citywide,Carjacking,Total/Subcategory,Total/Subcategory,195,176,203,301,521,499,495,525,2022-11-27,1025,341.7,156.7,158.6,0.8,54,46.8,69.4,120.1,121,78.8
Citywide,Burglary,Property,Burglary,12932,10610,14988,8689,10197,10590,9422,11365,2022-11-27,33874,11291.3,-32,-24.2,11.5,1,3454.9,2002.9,2350.5,2619.7,2602.7
Citywide,Burglary (Motor Vehicle),Total/Subcategory,Total/Subcategory,10379,8228,12364,6221,8179,8212,7561,8830,2022-11-27,26764,8921.3,-33.8,-28.6,8,-1,2850,1434,1885.3,2035.4,2056.4
Citywide,Burglary (Residential),Total/Subcategory,Total/Subcategory,1929,1614,1809,1247,1055,951,990,1016,2022-11-27,4111,1370.3,-41.7,-43.8,-3.7,-26,417,287.4,243.2,234.2,315.9
Citywide,Burglary (Commercial),Total/Subcategory,Total/Subcategory,417,606,623,958,670,1200,647,1223,2022-11-27,2251,750.3,7.5,96.3,82.5,63,143.6,220.8,154.4,281.9,173
Citywide,"Burglary (Boats, Aircraft, Other)",Total/Subcategory,Total/Subcategory,137,129,168,191,166,119,161,124,2022-11-27,525,175,-1.2,-26.2,-25.3,-29,38.7,44,38.3,28.6,40.3
Citywide,Burglary (Unknown),Total/Subcategory,Total/Subcategory,70,33,24,72,127,108,63,172,2022-11-27,223,74.3,429.2,616.7,35.4,131,5.5,16.6,29.3,39.6,17.1
Citywide,Motor Vehicle Theft,Property,Motor Vehicle Theft,6938,6208,6482,8722,9010,8838,8426,9422,2022-11-27,24214,8071.3,39,45.4,4.6,17,1494.2,2010.5,2076.9,2171.9,1860.5
Citywide,Larceny,Property,Larceny,6220,6628,7768,5974,6186,7012,5870,7328,2022-11-27,19928,6642.7,-20.4,-5.7,18.5,10,1790.6,1377.1,1425.9,1689.2,1531.2
Citywide,Arson,Property,Arson,151,196,152,193,170,152,164,158,2022-11-27,515,171.7,11.8,3.9,-7.1,-8,35,44.5,39.2,36.4,39.6
Citywide,Total,Total/Subcategory,Total/Subcategory,31711,29164,35229,29636,32107,32186,29995,34298,2022-11-27,96972,32324,-8.9,-2.6,6.8,6,8120.6,6831.4,7400.9,7906,7451
