district,description,type,category,total17,total18,total19,total20,total21,ytd22,ytd21,last12mos,updated,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Murder,Violent,Murder,71,67,75,102,123,5,8,120,2023-01-22,300,100,64,60,-2.4,20,17.3,23.5,28.4,27.7,23.1
Citywide,All Other Homicides,Total/Subcategory,Total/Subcategory,4,8,3,7,11,0,1,10,2023-01-22,21,7,266.7,233.3,-9.1,43,0.7,1.6,2.5,2.3,1.6
Citywide,Aggravated Assault,Violent,Aggravated Assault,2536,2650,2744,3315,3559,158,198,3519,2023-01-22,9618,3206,29.7,28.2,-1.1,10,632.5,764.1,820.4,811.2,739
Citywide,Aggravated Assault (Firearm),Total/Subcategory,Total/Subcategory,279,276,287,499,599,14,29,584,2023-01-22,1385,461.7,108.7,103.5,-2.5,26,66.2,115,138.1,134.6,106.4
Citywide,Combined subtotal of homicides and firearms-related aggravated assaults,Total/Subcategory,Total/Subcategory,354,351,365,608,733,19,38,714,2023-01-22,1706,568.7,100.8,95.6,-2.6,26,84.1,140.1,169,164.6,131.1
Citywide,Aggravated Assault (Shooting occupied home or vehicle),Total/Subcategory,Total/Subcategory,196,217,243,425,531,18,26,523,2023-01-22,1199,399.7,118.5,115.2,-1.5,31,56,98,122.4,120.6,92.1
Citywide,Aggravated Assault (Shooting unoccupied home or vehicle),Total/Subcategory,Total/Subcategory,77,84,117,216,263,8,13,258,2023-01-22,596,198.7,124.8,120.5,-1.9,30,27,49.8,60.6,59.5,45.8
Citywide,Aggravated Assault (Non Firearm),Total/Subcategory,Total/Subcategory,1984,2073,2097,2175,2166,118,130,2154,2023-01-22,6438,2146,3.3,2.7,-0.6,0,483.4,501.4,499.3,496.5,494.7
Citywide,Sexual Assault,Violent,Sexual Assault,249,230,203,217,158,9,9,158,2023-01-22,578,192.7,-22.2,-22.2,0,-18,46.8,50,36.4,36.4,44.4
Citywide,Robbery,Violent,Robbery,2610,2567,2814,2417,2693,135,203,2625,2023-01-22,7924,2641.3,-4.3,-6.7,-2.5,-1,648.7,557.1,620.8,605.1,608.8
Citywide,Robbery (Firearm),Total/Subcategory,Total/Subcategory,989,857,1034,805,1109,52,119,1042,2023-01-22,2948,982.7,7.3,0.8,-6,6,238.3,185.6,255.6,240.2,226.5
Citywide,Robbery (Knife),Total/Subcategory,Total/Subcategory,160,174,140,173,112,7,2,117,2023-01-22,425,141.7,-20,-16.4,4.5,-17,32.3,39.9,25.8,27,32.7
Citywide,Robbery (Strong-arm),Total/Subcategory,Total/Subcategory,1076,1201,1252,972,784,49,39,794,2023-01-22,3008,1002.7,-37.4,-36.6,1.3,-21,288.6,224.1,180.7,183,231.1
Citywide,Robbery (other dangerous weapon),Total/Subcategory,Total/Subcategory,89,87,88,77,72,3,2,73,2023-01-22,237,79,-18.2,-17,1.4,-8,20.3,17.7,16.6,16.8,18.2
Citywide,Residential Robbery,Total/Subcategory,Total/Subcategory,101,72,97,89,95,1,2,94,2023-01-22,281,93.7,-2.1,-3.1,-1.1,0,22.4,20.5,21.9,21.7,21.6
Citywide,Carjacking,Total/Subcategory,Total/Subcategory,195,176,203,301,521,23,39,505,2023-01-22,1025,341.7,156.7,148.8,-3.1,48,46.8,69.4,120.1,116.4,78.8
Citywide,Burglary,Property,Burglary,12932,10610,14988,8689,10197,239,715,9721,2023-01-22,33874,11291.3,-32,-35.1,-4.7,-14,3454.9,2002.9,2350.5,2240.8,2602.7
Citywide,Burglary (Motor Vehicle),Total/Subcategory,Total/Subcategory,10379,8228,12364,6221,8179,144,550,7773,2023-01-22,26764,8921.3,-33.8,-37.1,-5,-13,2850,1434,1885.3,1791.7,2056.4
Citywide,Burglary (Residential),Total/Subcategory,Total/Subcategory,1929,1614,1809,1247,1055,26,79,1002,2023-01-22,4111,1370.3,-41.7,-44.6,-5,-27,417,287.4,243.2,231,315.9
Citywide,Burglary (Commercial),Total/Subcategory,Total/Subcategory,417,606,623,958,670,62,79,653,2023-01-22,2251,750.3,7.5,4.8,-2.5,-13,143.6,220.8,154.4,150.5,173
Citywide,"Burglary (Boats, Aircraft, Other)",Total/Subcategory,Total/Subcategory,137,129,168,191,166,2,6,162,2023-01-22,525,175,-1.2,-3.6,-2.4,-7,38.7,44,38.3,37.3,40.3
Citywide,Burglary (Unknown),Total/Subcategory,Total/Subcategory,70,33,24,72,127,5,1,131,2023-01-22,223,74.3,429.2,445.8,3.1,76,5.5,16.6,29.3,30.2,17.1
Citywide,Motor Vehicle Theft,Property,Motor Vehicle Theft,6938,6208,6482,8722,9010,581,586,9005,2023-01-22,24214,8071.3,39,38.9,-0.1,12,1494.2,2010.5,2076.9,2075.7,1860.5
Citywide,Larceny,Property,Larceny,6220,6628,7768,5974,6186,204,461,5929,2023-01-22,19928,6642.7,-20.4,-23.7,-4.2,-11,1790.6,1377.1,1425.9,1366.7,1531.2
Citywide,Arson,Property,Arson,151,196,152,193,170,4,10,164,2023-01-22,515,171.7,11.8,7.9,-3.5,-4,35,44.5,39.2,37.8,39.6
Citywide,Total,Total/Subcategory,Total/Subcategory,31711,29164,35229,29636,32107,1335,2191,31251,2023-01-22,96972,32324,-8.9,-11.3,-2.7,-3,8120.6,6831.4,7400.9,7203.6,7451
