district,description,type,category,total17,total18,total19,total20,total21,ytd22,ytd21,last12mos,updated,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Murder,Violent,Murder,71,67,75,102,123,109,113,119,2022-11-20,300,100,64,58.7,-3.3,19,17.3,23.5,28.4,27.4,23.1
Citywide,All Other Homicides,Total/Subcategory,Total/Subcategory,4,8,3,7,11,2,11,2,2022-11-20,21,7,266.7,-33.3,-81.8,-71,0.7,1.6,2.5,0.5,1.6
Citywide,Aggravated Assault,Violent,Aggravated Assault,2536,2650,2744,3315,3559,2818,3287,3090,2022-11-20,9618,3206,29.7,12.6,-13.2,-4,632.5,764.1,820.4,712.3,739
Citywide,Aggravated Assault (Firearm),Total/Subcategory,Total/Subcategory,279,276,287,499,599,413,553,459,2022-11-20,1385,461.7,108.7,59.9,-23.4,-1,66.2,115,138.1,105.8,106.4
Citywide,Combined subtotal of homicides and firearms-related aggravated assaults,Total/Subcategory,Total/Subcategory,354,351,365,608,733,524,677,580,2022-11-20,1706,568.7,100.8,58.9,-20.9,2,84.1,140.1,169,133.7,131.1
Citywide,Aggravated Assault (Shooting occupied home or vehicle),Total/Subcategory,Total/Subcategory,196,217,243,425,531,315,500,346,2022-11-20,1199,399.7,118.5,42.4,-34.8,-13,56,98,122.4,79.8,92.1
Citywide,Aggravated Assault (Shooting unoccupied home or vehicle),Total/Subcategory,Total/Subcategory,77,84,117,216,263,150,249,164,2022-11-20,596,198.7,124.8,40.2,-37.6,-17,27,49.8,60.6,37.8,45.8
Citywide,Aggravated Assault (Non Firearm),Total/Subcategory,Total/Subcategory,1984,2073,2097,2175,2166,1940,1985,2121,2022-11-20,6438,2146,3.3,1.1,-2.1,-1,483.4,501.4,499.3,488.9,494.7
Citywide,Sexual Assault,Violent,Sexual Assault,249,230,203,217,158,155,146,167,2022-11-20,578,192.7,-22.2,-17.7,5.7,-13,46.8,50,36.4,38.5,44.4
Citywide,Robbery,Violent,Robbery,2610,2567,2814,2417,2693,2399,2429,2663,2022-11-20,7924,2641.3,-4.3,-5.4,-1.1,1,648.7,557.1,620.8,613.8,608.8
Citywide,Robbery (Firearm),Total/Subcategory,Total/Subcategory,989,857,1034,805,1109,995,970,1134,2022-11-20,2948,982.7,7.3,9.7,2.3,15,238.3,185.6,255.6,261.4,226.5
Citywide,Robbery (Knife),Total/Subcategory,Total/Subcategory,160,174,140,173,112,89,104,97,2022-11-20,425,141.7,-20,-30.7,-13.4,-32,32.3,39.9,25.8,22.4,32.7
Citywide,Robbery (Strong-arm),Total/Subcategory,Total/Subcategory,1076,1201,1252,972,784,693,725,752,2022-11-20,3008,1002.7,-37.4,-39.9,-4.1,-25,288.6,224.1,180.7,173.3,231.1
Citywide,Robbery (other dangerous weapon),Total/Subcategory,Total/Subcategory,89,87,88,77,72,78,65,85,2022-11-20,237,79,-18.2,-3.4,18.1,8,20.3,17.7,16.6,19.6,18.2
Citywide,Residential Robbery,Total/Subcategory,Total/Subcategory,101,72,97,89,95,54,89,60,2022-11-20,281,93.7,-2.1,-38.1,-36.8,-36,22.4,20.5,21.9,13.8,21.6
Citywide,Carjacking,Total/Subcategory,Total/Subcategory,195,176,203,301,521,490,476,535,2022-11-20,1025,341.7,156.7,163.5,2.7,57,46.8,69.4,120.1,123.3,78.8
Citywide,Burglary,Property,Burglary,12932,10610,14988,8689,10197,10444,9166,11475,2022-11-20,33874,11291.3,-32,-23.4,12.5,2,3454.9,2002.9,2350.5,2645.1,2602.7
Citywide,Burglary (Motor Vehicle),Total/Subcategory,Total/Subcategory,10379,8228,12364,6221,8179,8116,7393,8902,2022-11-20,26764,8921.3,-33.8,-28,8.8,-0,2850,1434,1885.3,2052,2056.4
Citywide,Burglary (Residential),Total/Subcategory,Total/Subcategory,1929,1614,1809,1247,1055,937,966,1026,2022-11-20,4111,1370.3,-41.7,-43.3,-2.7,-25,417,287.4,243.2,236.5,315.9
Citywide,Burglary (Commercial),Total/Subcategory,Total/Subcategory,417,606,623,958,670,1154,591,1233,2022-11-20,2251,750.3,7.5,97.9,84,64,143.6,220.8,154.4,284.2,173
Citywide,"Burglary (Boats, Aircraft, Other)",Total/Subcategory,Total/Subcategory,137,129,168,191,166,115,154,127,2022-11-20,525,175,-1.2,-24.4,-23.5,-27,38.7,44,38.3,29.3,40.3
Citywide,Burglary (Unknown),Total/Subcategory,Total/Subcategory,70,33,24,72,127,122,62,187,2022-11-20,223,74.3,429.2,679.2,47.2,152,5.5,16.6,29.3,43.1,17.1
Citywide,Motor Vehicle Theft,Property,Motor Vehicle Theft,6938,6208,6482,8722,9010,8609,8244,9375,2022-11-20,24214,8071.3,39,44.6,4.1,16,1494.2,2010.5,2076.9,2161,1860.5
Citywide,Larceny,Property,Larceny,6220,6628,7768,5974,6186,6843,5725,7304,2022-11-20,19928,6642.7,-20.4,-6,18.1,10,1790.6,1377.1,1425.9,1683.6,1531.2
Citywide,Arson,Property,Arson,151,196,152,193,170,149,161,158,2022-11-20,515,171.7,11.8,3.9,-7.1,-8,35,44.5,39.2,36.4,39.6
Citywide,Total,Total/Subcategory,Total/Subcategory,31711,29164,35229,29636,32107,31528,29282,34353,2022-11-20,96972,32324,-8.9,-2.5,7,6,8120.6,6831.4,7400.9,7918.7,7451
