district,description,type,category,total17,total18,total19,total20,total21,ytd22,ytd21,last12mos,updated,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Murder,Violent,Murder,71,67,75,102,123,114,121,116,2022-12-18,300,100,64,54.7,-5.7,16,17.3,23.5,28.4,26.7,23.1
Citywide,All Other Homicides,Total/Subcategory,Total/Subcategory,4,8,3,7,11,2,11,2,2022-12-18,21,7,266.7,-33.3,-81.8,-71,0.7,1.6,2.5,0.5,1.6
Citywide,Aggravated Assault,Violent,Aggravated Assault,2536,2650,2744,3315,3559,3061,3509,3111,2022-12-18,9618,3206,29.7,13.4,-12.6,-3,632.5,764.1,820.4,717.1,739
Citywide,Aggravated Assault (Firearm),Total/Subcategory,Total/Subcategory,279,276,287,499,599,441,590,450,2022-12-18,1385,461.7,108.7,56.8,-24.9,-3,66.2,115,138.1,103.7,106.4
Citywide,Combined subtotal of homicides and firearms-related aggravated assaults,Total/Subcategory,Total/Subcategory,354,351,365,608,733,557,722,568,2022-12-18,1706,568.7,100.8,55.6,-22.5,-0,84.1,140.1,169,130.9,131.1
Citywide,Aggravated Assault (Shooting occupied home or vehicle),Total/Subcategory,Total/Subcategory,196,217,243,425,531,326,526,331,2022-12-18,1199,399.7,118.5,36.2,-37.7,-17,56,98,122.4,76.3,92.1
Citywide,Aggravated Assault (Shooting unoccupied home or vehicle),Total/Subcategory,Total/Subcategory,77,84,117,216,263,155,262,156,2022-12-18,596,198.7,124.8,33.3,-40.7,-21,27,49.8,60.6,36,45.8
Citywide,Aggravated Assault (Non Firearm),Total/Subcategory,Total/Subcategory,1984,2073,2097,2175,2166,2139,2131,2174,2022-12-18,6438,2146,3.3,3.7,0.4,1,483.4,501.4,499.3,501.1,494.7
Citywide,Sexual Assault,Violent,Sexual Assault,249,230,203,217,158,166,164,160,2022-12-18,578,192.7,-22.2,-21.2,1.3,-17,46.8,50,36.4,36.9,44.4
Citywide,Robbery,Violent,Robbery,2610,2567,2814,2417,2693,2569,2649,2613,2022-12-18,7924,2641.3,-4.3,-7.1,-3,-1,648.7,557.1,620.8,602.3,608.8
Citywide,Robbery (Firearm),Total/Subcategory,Total/Subcategory,989,857,1034,805,1109,1061,1090,1080,2022-12-18,2948,982.7,7.3,4.4,-2.6,10,238.3,185.6,255.6,248.9,226.5
Citywide,Robbery (Knife),Total/Subcategory,Total/Subcategory,160,174,140,173,112,95,108,99,2022-12-18,425,141.7,-20,-29.3,-11.6,-30,32.3,39.9,25.8,22.8,32.7
Citywide,Robbery (Strong-arm),Total/Subcategory,Total/Subcategory,1076,1201,1252,972,784,745,768,761,2022-12-18,3008,1002.7,-37.4,-39.2,-2.9,-24,288.6,224.1,180.7,175.4,231.1
Citywide,Robbery (other dangerous weapon),Total/Subcategory,Total/Subcategory,89,87,88,77,72,85,72,85,2022-12-18,237,79,-18.2,-3.4,18.1,8,20.3,17.7,16.6,19.6,18.2
Citywide,Residential Robbery,Total/Subcategory,Total/Subcategory,101,72,97,89,95,59,94,60,2022-12-18,281,93.7,-2.1,-38.1,-36.8,-36,22.4,20.5,21.9,13.8,21.6
Citywide,Carjacking,Total/Subcategory,Total/Subcategory,195,176,203,301,521,524,517,528,2022-12-18,1025,341.7,156.7,160.1,1.3,55,46.8,69.4,120.1,121.7,78.8
Citywide,Burglary,Property,Burglary,12932,10610,14988,8689,10197,11212,10181,11228,2022-12-18,33874,11291.3,-32,-25.1,10.1,-1,3454.9,2002.9,2350.5,2588.2,2602.7
Citywide,Burglary (Motor Vehicle),Total/Subcategory,Total/Subcategory,10379,8228,12364,6221,8179,8710,8174,8715,2022-12-18,26764,8921.3,-33.8,-29.5,6.6,-2,2850,1434,1885.3,2008.9,2056.4
Citywide,Burglary (Residential),Total/Subcategory,Total/Subcategory,1929,1614,1809,1247,1055,989,1054,990,2022-12-18,4111,1370.3,-41.7,-45.3,-6.2,-28,417,287.4,243.2,228.2,315.9
Citywide,Burglary (Commercial),Total/Subcategory,Total/Subcategory,417,606,623,958,670,1272,716,1226,2022-12-18,2251,750.3,7.5,96.8,83,63,143.6,220.8,154.4,282.6,173
Citywide,"Burglary (Boats, Aircraft, Other)",Total/Subcategory,Total/Subcategory,137,129,168,191,166,124,173,117,2022-12-18,525,175,-1.2,-30.4,-29.5,-33,38.7,44,38.3,27,40.3
Citywide,Burglary (Unknown),Total/Subcategory,Total/Subcategory,70,33,24,72,127,117,64,180,2022-12-18,223,74.3,429.2,650,41.7,142,5.5,16.6,29.3,41.5,17.1
Citywide,Motor Vehicle Theft,Property,Motor Vehicle Theft,6938,6208,6482,8722,9010,9461,9002,9469,2022-12-18,24214,8071.3,39,46.1,5.1,17,1494.2,2010.5,2076.9,2182.7,1860.5
Citywide,Larceny,Property,Larceny,6220,6628,7768,5974,6186,7559,6328,7417,2022-12-18,19928,6642.7,-20.4,-4.5,19.9,12,1790.6,1377.1,1425.9,1709.7,1531.2
Citywide,Arson,Property,Arson,151,196,152,193,170,159,172,157,2022-12-18,515,171.7,11.8,3.3,-7.6,-9,35,44.5,39.2,36.2,39.6
Citywide,Total,Total/Subcategory,Total/Subcategory,31711,29164,35229,29636,32107,34303,32137,34273,2022-12-18,96972,32324,-8.9,-2.7,6.7,6,8120.6,6831.4,7400.9,7900.2,7451
