district,description,type,category,total17,total18,total19,total20,total21,ytd22,ytd21,last12mos,updated,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Murder,Violent,Murder,71,67,75,102,123,107,110,120,2022-11-06,300,100,64,60,-2.4,20,17.3,23.5,28.4,27.7,23.1
Citywide,All Other Homicides,Total/Subcategory,Total/Subcategory,4,8,3,7,11,2,9,4,2022-11-06,21,7,266.7,33.3,-63.6,-43,0.7,1.6,2.5,0.9,1.6
Citywide,Aggravated Assault,Violent,Aggravated Assault,2536,2650,2744,3315,3559,2697,3151,3105,2022-11-06,9618,3206,29.7,13.2,-12.8,-3,632.5,764.1,820.4,715.7,739
Citywide,Aggravated Assault (Firearm),Total/Subcategory,Total/Subcategory,279,276,287,499,599,408,533,474,2022-11-06,1385,461.7,108.7,65.2,-20.9,3,66.2,115,138.1,109.3,106.4
Citywide,Combined subtotal of homicides and firearms-related aggravated assaults,Total/Subcategory,Total/Subcategory,354,351,365,608,733,517,652,598,2022-11-06,1706,568.7,100.8,63.8,-18.4,5,84.1,140.1,169,137.8,131.1
Citywide,Aggravated Assault (Shooting occupied home or vehicle),Total/Subcategory,Total/Subcategory,196,217,243,425,531,303,482,352,2022-11-06,1199,399.7,118.5,44.9,-33.7,-12,56,98,122.4,81.1,92.1
Citywide,Aggravated Assault (Shooting unoccupied home or vehicle),Total/Subcategory,Total/Subcategory,77,84,117,216,263,145,241,167,2022-11-06,596,198.7,124.8,42.7,-36.5,-16,27,49.8,60.6,38.5,45.8
Citywide,Aggravated Assault (Non Firearm),Total/Subcategory,Total/Subcategory,1984,2073,2097,2175,2166,1841,1895,2112,2022-11-06,6438,2146,3.3,0.7,-2.5,-2,483.4,501.4,499.3,486.8,494.7
Citywide,Sexual Assault,Violent,Sexual Assault,249,230,203,217,158,147,139,166,2022-11-06,578,192.7,-22.2,-18.2,5.1,-14,46.8,50,36.4,38.3,44.4
Citywide,Robbery,Violent,Robbery,2610,2567,2814,2417,2693,2314,2298,2709,2022-11-06,7924,2641.3,-4.3,-3.7,0.6,3,648.7,557.1,620.8,624.4,608.8
Citywide,Robbery (Firearm),Total/Subcategory,Total/Subcategory,989,857,1034,805,1109,963,932,1140,2022-11-06,2948,982.7,7.3,10.3,2.8,16,238.3,185.6,255.6,262.8,226.5
Citywide,Robbery (Knife),Total/Subcategory,Total/Subcategory,160,174,140,173,112,87,102,97,2022-11-06,425,141.7,-20,-30.7,-13.4,-32,32.3,39.9,25.8,22.4,32.7
Citywide,Robbery (Strong-arm),Total/Subcategory,Total/Subcategory,1076,1201,1252,972,784,665,682,767,2022-11-06,3008,1002.7,-37.4,-38.7,-2.2,-24,288.6,224.1,180.7,176.8,231.1
Citywide,Robbery (other dangerous weapon),Total/Subcategory,Total/Subcategory,89,87,88,77,72,76,63,85,2022-11-06,237,79,-18.2,-3.4,18.1,8,20.3,17.7,16.6,19.6,18.2
Citywide,Residential Robbery,Total/Subcategory,Total/Subcategory,101,72,97,89,95,51,85,61,2022-11-06,281,93.7,-2.1,-37.1,-35.8,-35,22.4,20.5,21.9,14.1,21.6
Citywide,Carjacking,Total/Subcategory,Total/Subcategory,195,176,203,301,521,472,434,559,2022-11-06,1025,341.7,156.7,175.4,7.3,64,46.8,69.4,120.1,128.9,78.8
Citywide,Burglary,Property,Burglary,12932,10610,14988,8689,10197,9757,8628,11326,2022-11-06,33874,11291.3,-32,-24.4,11.1,0,3454.9,2002.9,2350.5,2610.7,2602.7
Citywide,Burglary (Motor Vehicle),Total/Subcategory,Total/Subcategory,10379,8228,12364,6221,8179,7547,6964,8762,2022-11-06,26764,8921.3,-33.8,-29.1,7.1,-2,2850,1434,1885.3,2019.7,2056.4
Citywide,Burglary (Residential),Total/Subcategory,Total/Subcategory,1929,1614,1809,1247,1055,880,917,1018,2022-11-06,4111,1370.3,-41.7,-43.7,-3.5,-26,417,287.4,243.2,234.7,315.9
Citywide,Burglary (Commercial),Total/Subcategory,Total/Subcategory,417,606,623,958,670,1072,534,1208,2022-11-06,2251,750.3,7.5,93.9,80.3,61,143.6,220.8,154.4,278.5,173
Citywide,"Burglary (Boats, Aircraft, Other)",Total/Subcategory,Total/Subcategory,137,129,168,191,166,120,152,134,2022-11-06,525,175,-1.2,-20.2,-19.3,-23,38.7,44,38.3,30.9,40.3
Citywide,Burglary (Unknown),Total/Subcategory,Total/Subcategory,70,33,24,72,127,138,61,204,2022-11-06,223,74.3,429.2,750,60.6,175,5.5,16.6,29.3,47,17.1
Citywide,Motor Vehicle Theft,Property,Motor Vehicle Theft,6938,6208,6482,8722,9010,8202,7830,9382,2022-11-06,24214,8071.3,39,44.7,4.1,16,1494.2,2010.5,2076.9,2162.6,1860.5
Citywide,Larceny,Property,Larceny,6220,6628,7768,5974,6186,6247,5363,7070,2022-11-06,19928,6642.7,-20.4,-9,14.3,6,1790.6,1377.1,1425.9,1629.7,1531.2
Citywide,Arson,Property,Arson,151,196,152,193,170,147,155,162,2022-11-06,515,171.7,11.8,6.6,-4.7,-6,35,44.5,39.2,37.3,39.6
Citywide,Total,Total/Subcategory,Total/Subcategory,31711,29164,35229,29636,32107,29620,27683,34044,2022-11-06,96972,32324,-8.9,-3.4,6,5,8120.6,6831.4,7400.9,7847.4,7451
