district,description,type,category,total17,total18,total19,total20,total21,ytd22,ytd21,last12mos,updated,total_prior3years,avg_prior3years,inc_19to21,inc_19tolast12,inc_21tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate_last12,rate_prior3years
Citywide,Murder,Violent,Murder,71,67,75,102,123,113,119,117,2022-12-11,300,100,64,56,-4.9,17,17.3,23.5,28.4,27,23.1
Citywide,All Other Homicides,Total/Subcategory,Total/Subcategory,4,8,3,7,11,2,11,2,2022-12-11,21,7,266.7,-33.3,-81.8,-71,0.7,1.6,2.5,0.5,1.6
Citywide,Aggravated Assault,Violent,Aggravated Assault,2536,2650,2744,3315,3559,3003,3452,3110,2022-12-11,9618,3206,29.7,13.3,-12.6,-3,632.5,764.1,820.4,716.9,739
Citywide,Aggravated Assault (Firearm),Total/Subcategory,Total/Subcategory,279,276,287,499,599,434,586,447,2022-12-11,1385,461.7,108.7,55.7,-25.4,-3,66.2,115,138.1,103,106.4
Citywide,Combined subtotal of homicides and firearms-related aggravated assaults,Total/Subcategory,Total/Subcategory,354,351,365,608,733,549,716,566,2022-12-11,1706,568.7,100.8,55.1,-22.8,-0,84.1,140.1,169,130.5,131.1
Citywide,Aggravated Assault (Shooting occupied home or vehicle),Total/Subcategory,Total/Subcategory,196,217,243,425,531,323,521,333,2022-12-11,1199,399.7,118.5,37,-37.3,-17,56,98,122.4,76.8,92.1
Citywide,Aggravated Assault (Shooting unoccupied home or vehicle),Total/Subcategory,Total/Subcategory,77,84,117,216,263,155,258,160,2022-12-11,596,198.7,124.8,36.8,-39.2,-19,27,49.8,60.6,36.9,45.8
Citywide,Aggravated Assault (Non Firearm),Total/Subcategory,Total/Subcategory,1984,2073,2097,2175,2166,2091,2087,2170,2022-12-11,6438,2146,3.3,3.5,0.2,1,483.4,501.4,499.3,500.2,494.7
Citywide,Sexual Assault,Violent,Sexual Assault,249,230,203,217,158,164,160,162,2022-12-11,578,192.7,-22.2,-20.2,2.5,-16,46.8,50,36.4,37.3,44.4
Citywide,Robbery,Violent,Robbery,2610,2567,2814,2417,2693,2530,2605,2618,2022-12-11,7924,2641.3,-4.3,-7,-2.8,-1,648.7,557.1,620.8,603.5,608.8
Citywide,Robbery (Firearm),Total/Subcategory,Total/Subcategory,989,857,1034,805,1109,1046,1063,1092,2022-12-11,2948,982.7,7.3,5.6,-1.5,11,238.3,185.6,255.6,251.7,226.5
Citywide,Robbery (Knife),Total/Subcategory,Total/Subcategory,160,174,140,173,112,94,107,99,2022-12-11,425,141.7,-20,-29.3,-11.6,-30,32.3,39.9,25.8,22.8,32.7
Citywide,Robbery (Strong-arm),Total/Subcategory,Total/Subcategory,1076,1201,1252,972,784,731,763,752,2022-12-11,3008,1002.7,-37.4,-39.9,-4.1,-25,288.6,224.1,180.7,173.3,231.1
Citywide,Robbery (other dangerous weapon),Total/Subcategory,Total/Subcategory,89,87,88,77,72,85,71,86,2022-12-11,237,79,-18.2,-2.3,19.4,9,20.3,17.7,16.6,19.8,18.2
Citywide,Residential Robbery,Total/Subcategory,Total/Subcategory,101,72,97,89,95,58,93,60,2022-12-11,281,93.7,-2.1,-38.1,-36.8,-36,22.4,20.5,21.9,13.8,21.6
Citywide,Carjacking,Total/Subcategory,Total/Subcategory,195,176,203,301,521,516,508,529,2022-12-11,1025,341.7,156.7,160.6,1.5,55,46.8,69.4,120.1,121.9,78.8
Citywide,Burglary,Property,Burglary,12932,10610,14988,8689,10197,10994,9925,11266,2022-12-11,33874,11291.3,-32,-24.8,10.5,-0,3454.9,2002.9,2350.5,2596.9,2602.7
Citywide,Burglary (Motor Vehicle),Total/Subcategory,Total/Subcategory,10379,8228,12364,6221,8179,8534,7952,8761,2022-12-11,26764,8921.3,-33.8,-29.1,7.1,-2,2850,1434,1885.3,2019.5,2056.4
Citywide,Burglary (Residential),Total/Subcategory,Total/Subcategory,1929,1614,1809,1247,1055,980,1038,997,2022-12-11,4111,1370.3,-41.7,-44.9,-5.5,-27,417,287.4,243.2,229.8,315.9
Citywide,Burglary (Commercial),Total/Subcategory,Total/Subcategory,417,606,623,958,670,1245,700,1215,2022-12-11,2251,750.3,7.5,95,81.3,62,143.6,220.8,154.4,280.1,173
Citywide,"Burglary (Boats, Aircraft, Other)",Total/Subcategory,Total/Subcategory,137,129,168,191,166,127,171,122,2022-12-11,525,175,-1.2,-27.4,-26.5,-30,38.7,44,38.3,28.1,40.3
Citywide,Burglary (Unknown),Total/Subcategory,Total/Subcategory,70,33,24,72,127,108,64,171,2022-12-11,223,74.3,429.2,612.5,34.6,130,5.5,16.6,29.3,39.4,17.1
Citywide,Motor Vehicle Theft,Property,Motor Vehicle Theft,6938,6208,6482,8722,9010,9272,8810,9472,2022-12-11,24214,8071.3,39,46.1,5.1,17,1494.2,2010.5,2076.9,2183.4,1860.5
Citywide,Larceny,Property,Larceny,6220,6628,7768,5974,6186,7407,6184,7409,2022-12-11,19928,6642.7,-20.4,-4.6,19.8,12,1790.6,1377.1,1425.9,1707.8,1531.2
Citywide,Arson,Property,Arson,151,196,152,193,170,157,171,156,2022-12-11,515,171.7,11.8,2.6,-8.2,-9,35,44.5,39.2,36,39.6
Citywide,Total,Total/Subcategory,Total/Subcategory,31711,29164,35229,29636,32107,33642,31437,34312,2022-12-11,96972,32324,-8.9,-2.6,6.9,6,8120.6,6831.4,7400.9,7909.2,7451
